name,salary_from,salary_to,salary_currency,area_name,published_at
Токарь-карусельщик,,,,Новосибирск,2022-12-19T05:06:33+0300
Менеджер по продаже розничных услуг,35000,50000,RUR,Хабаровск,2022-12-19T04:12:33+0300
Мастер по ремонту майнинг оборудования,70000,120000,RUR,Москва,2022-12-19T01:06:13+0300
Сетевой инженер,,150000,RUR,Москва,2022-12-19T01:03:22+0300
VOIP инженер,,100000,RUR,Новосибирск,2022-12-19T04:54:42+0300
Выездной мастер по установке бытовой техники,55000,85000,RUR,Владивосток,2022-12-19T04:38:56+0300
Долбежник,35000,90000,RUR,Каменск-Уральский,2022-12-19T04:43:02+0300
Главный механик,60000,,RUR,Барнаул,2022-12-19T05:59:40+0300
Fullstack web-программист,150000,180000,RUR,Владивосток,2022-12-19T03:37:14+0300
Преподаватель по специальности Аддитивные технологии,28000,35000,RUR,Хабаровск,2022-12-19T04:52:57+0300
Руководитель отдела разработки и сопровождения ERP-систем,,,,Иркутск,2022-12-19T05:05:55+0300
"IOS-разработчик (Senior, удаленно)",,310000,RUR,Казань,2022-12-19T04:04:55+0300
Токарь-универсал,,60000,RUR,Барнаул,2022-12-19T03:33:57+0300
Токарь-фрезеровщик,40000,,RUR,Красноярск,2022-12-19T04:54:24+0300
Механик по ремонту горного оборудования,,,,Красноярск,2022-12-19T01:03:24+0300
Инженер отдела телефонии,,,,Новосибирск,2022-12-19T05:37:41+0300
Ведущий специалист 1С,140000,,RUR,Владивосток,2022-12-19T04:15:01+0300
Инженер по ремонту крупной бытовой техники,55000,95000,RUR,Владивосток,2022-12-19T04:38:56+0300
Специалист по обслуживанию ККМ и ПК,35000,,RUR,Абакан,2022-12-19T05:02:18+0300
Инженер связи,35000,60000,RUR,Ленинск-Кузнецкий,2022-12-19T05:21:07+0300
Механик холодильного оборудования,50000,100000,RUR,Новосибирск,2022-12-19T05:18:32+0300
Senior React Native Engineer,,,,США,2022-12-19T00:18:55+0300
Фрезеровщик,35000,90000,RUR,Томск,2022-12-19T05:34:33+0300
Программист 1C 8.3 НЕ удаленно,,,,Абакан,2022-12-19T05:02:18+0300
Full-stack разработчик (c#),,,,Иркутск,2022-12-19T05:18:42+0300
Инженер-руководитель по погрузо-разгрузочным работам,35000,50000,RUR,Омск,2022-12-19T04:09:40+0300
Администратор программы 1C 8,45000,,RUR,Абакан,2022-12-19T05:02:18+0300
Менеджер по проектам (Project manager),,,,Владивосток,2022-12-19T04:15:00+0300
Team Lead / Development Manager (PHP/Go),,7000,USD,Тбилиси,2022-12-19T00:08:24+0300
Оператор станков с ЧПУ,30000,,RUR,Барнаул,2022-12-19T03:33:58+0300
Менеджер проекта / программист 1С,,,,Хабаровск,2022-12-19T02:23:17+0300
Фрезеровщик,35000,50000,RUR,Барнаул,2022-12-19T03:33:58+0300
Дизайнер корпусной мебели,50000,,RUR,Кемерово,2022-12-19T05:54:32+0300
Фрезеровщик,45000,,RUR,Красноярск,2022-12-19T04:54:35+0300
"Токарь – карусельщик (5,6 разряд).",31000,65000,RUR,Омск,2022-12-19T05:05:07+0300
Сервисный инженер на грузовую технику,80000,,RUR,Екатеринбург,2022-12-19T04:18:58+0300
Механик-наладчик технологического оборудования,45000,,RUR,Кемерово,2022-12-19T04:16:16+0300
Ученик инженера по ремонту часов,45000,60000,RUR,Чита,2022-12-19T05:44:29+0300
Оформитель торгового комплекса (ул. Симонова),38000,47000,RUR,Санкт-Петербург,2022-12-19T03:18:53+0300
Специалист сервисного центра,25000,,RUR,Улан-Удэ,2022-12-19T04:38:12+0300
PHP-разработчик / PHP developer,,,,Новосибирск,2022-12-19T05:28:04+0300
Ученик мастера по ремонту крупно-бытовой техники,90000,110000,RUR,Новосибирск,2022-12-19T05:02:23+0300
